2025-12-05 14:20:56.159 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry is empty, awaiting new load (hasLoad await).
2025-12-05 14:31:54.101 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry full. Awaiting space for: Truck Alpina { weight: 5597, area: 53.125794075775985 }
2025-12-05 14:31:54.101 [Ferry-Loader2] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry full. Awaiting space for: Truck Lada { weight: 6853, area: 78.16686125310932 }
2025-12-05 14:31:54.102 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - UNLOADED BATCH: 3 vehicles. Ferry is now empty.
2025-12-05 14:31:54.102 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - Vehicle Car Renault { weight: 2732, area: 13.669509995531541 } unloaded.
2025-12-05 14:31:54.102 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - LOADED: Truck Alpina { weight: 5597, area: 53.125794075775985 }. Total: 5597 kg / 53.125794075775985 m².
2025-12-05 14:31:54.102 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - Vehicle Truck Alpina { weight: 4974, area: 57.15549497672971 } unloaded.
2025-12-05 14:31:54.102 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - LOADED: Car Chevrolet { weight: 1390, area: 10.853031805357015 }. Total: 6987 kg / 63.978825881133 m².
2025-12-05 14:31:54.102 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - Vehicle Car Mercedes { weight: 1820, area: 10.92006337241163 } unloaded.
2025-12-05 14:31:54.102 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - LOADED: Car Ford { weight: 2101, area: 10.815333964184608 }. Total: 9088 kg / 74.79415984531761 m².
2025-12-05 14:31:54.102 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry full. Awaiting space for: Car Alpina { weight: 2810, area: 11.372023847577516 }
2025-12-05 14:31:54.103 [Ferry-Loader2] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry full. Awaiting space for: Truck Lada { weight: 6853, area: 78.16686125310932 }
